time(s),delay(ms)
3.240031,46.606
3.3334119999999996,46.645
3.333478,46.665
3.333519,46.675
3.3335410000000003,46.684
3.3335619999999997,46.697
3.33358,46.708
3.333598,46.719
3.333616,46.73
3.333635,46.741
3.333654,46.753
3.333672,46.764
3.426301,46.002
3.426357,46.02
3.426368,46.008
3.426377,45.996
3.4263850000000002,45.977
3.426413,45.983
3.4264319999999997,45.98
3.4264479999999997,45.974
3.426469,45.971
3.4284749999999997,47.957
3.428517,47.991
3.4285279999999996,47.993
3.42854,47.997
3.428585,48.033
3.42861,48.051
3.428627,48.06
3.428644,48.069
3.428661,48.079
3.4286779999999997,48.088
3.428698,48.1
3.5185839999999997,46.405
3.5186460000000004,46.435
3.5186640000000002,46.417
3.518702,46.441
3.518723,46.45
3.5187440000000003,46.458
3.518762,46.462
3.518781,46.467
3.518799,46.471
3.519674,47.332
3.519703,47.348
3.5197130000000003,47.345
3.5197220000000002,47.339
3.51975,47.354
3.5197689999999997,47.36
3.519788,47.367
3.519805,46.52
3.5198229999999997,46.522
3.522799,47.362
3.522828,47.346
3.522838,47.32
3.522847,47.289
3.522869,47.277
3.522889,47.258
3.522906,47.238
3.5229229999999996,47.222
3.522938,47.202
3.522955,47.185
3.522973,47.167
3.522989,47.17
3.523004,47.171
3.5230210000000004,47.174
3.523038,47.173
3.523056,47.177
3.5230729999999997,47.18
3.523091,47.184
3.523109,47.188
3.5231260000000004,47.191
3.523917,47.968
3.5239439999999997,47.981
3.61215,46.556
3.6121950000000003,46.556
3.612205,46.529
3.612214,46.503
3.6122229999999997,46.475
3.612251,46.468
3.61227,46.453
3.612287,46.436
3.612304,46.419
3.612321,46.403
3.612339,46.387
3.612358,46.373
3.612374,46.355
3.6123939999999997,46.341
3.6124110000000003,46.325
3.612428,46.307
3.612445,46.288
3.612462,46.269
3.6124870000000002,46.28
3.613269,47.05
3.613297,47.064
3.613307,47.061
3.6133159999999998,47.056
3.613339,47.064
3.6133580000000003,47.069
3.613374,47.071
3.6133919999999997,47.067
3.613412,47.07
3.614358,48.003
3.614386,48.017
3.614413,48.03
3.614432,48.035
3.6144499999999997,48.039
3.614468,48.043
3.614485,48.047
3.614503,48.051
3.61452,46.016
3.614538,46.0
3.615447,46.883
3.615475,46.888
3.615487,46.865
3.61551,46.853
3.615521,46.829
3.615539,46.813
3.615548,46.809
3.615566,46.815
3.615576,46.812
3.616533,47.755
