time(s),throughput(Mbit/s)
3.0,0.0
3.5,0.700928
4.0,24.648
4.5,42.648
5.0,38.688
5.5,43.416
6.0,43.272
6.5,41.712
7.0,45.456
7.5,43.776
8.0,45.168
8.5,48.144
9.0,45.456
9.5,46.608
10.0,48.936
10.5,48.408
11.0,48.816
11.5,50.616
12.0,49.848
12.5,51.216
13.0,52.68
13.5,50.928
14.0,53.136
14.5,53.256
15.0,53.448
15.5,54.96
16.0,54.696
16.5,54.864
17.0,56.352
17.5,56.64
18.0,56.4
18.5,58.128
19.0,58.056
19.5,59.088
20.0,59.376
20.5,59.016
21.0,61.152
21.5,60.624
22.0,61.104
22.5,62.352
23.0,62.688
23.5,62.88
24.0,63.432
24.5,63.984
25.0,63.624
25.5,64.824
26.0,65.448
26.5,64.584
27.0,66.432
27.5,66.408
28.0,66.624
28.5,66.168
29.0,67.992
29.5,68.64
30.0,68.112
30.5,69.168
31.0,69.024
31.5,70.488
32.0,69.432
32.5,69.792
33.0,71.736
33.5,28.872
